RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
,R.J. HamptonORL,PG,64,21.9,7.6,2.7,7.1,38.3,1.0,2.9,35.0,1.2,1.8,64.1,3.0,2.5,0.7,0.2,1.4,0,0,8.56
,Aleksej PokusevskiOKC,F,61,20.2,7.6,3.0,7.5,40.8,0.9,3.2,28.9,0.6,0.8,70.0,5.2,2.1,0.6,0.6,1.5,5,1,12.00
,Furkan KorkmazPHI,SG,67,21.1,7.6,2.7,7.0,38.7,1.1,4.0,28.9,1.0,1.3,81.0,2.6,1.9,0.5,0.1,0.7,1,0,10.22
,P.J. TuckerMIA,PF,71,27.9,7.6,2.9,6.0,48.4,1.1,2.7,41.5,0.6,0.9,73.8,5.5,2.1,0.8,0.2,0.9,5,0,11.35
,Markieff MorrisMIA,PF,17,17.5,7.6,3.2,6.7,47.4,0.8,2.3,33.3,0.5,0.5,88.9,2.6,1.4,0.4,0.1,1.2,0,0,10.96
,Trendon WatfordPOR,PF,48,18.1,7.6,3.0,5.6,53.2,0.2,0.8,23.7,1.5,2.0,75.5,4.1,1.7,0.5,0.6,0.9,2,0,15.86
,Kris DunnPOR,PG,14,24.0,7.6,3.1,7.3,43.1,0.1,0.8,9.1,1.2,1.3,94.4,3.5,5.6,1.6,0.2,2.3,0,0,12.55
,Kyle AndersonMEM,SF,69,21.5,7.6,3.0,6.8,44.6,0.5,1.6,33.0,1.0,1.5,63.8,5.3,2.7,1.1,0.7,1.0,2,0,14.49
,Draymond GreenGS,PF,46,28.9,7.5,2.9,5.6,52.5,0.3,1.2,29.6,1.3,2.0,65.9,7.3,7.0,1.3,1.1,3.0,4,1,14.30
,Raul NetoWSH,PG,70,19.6,7.5,2.9,6.3,46.3,0.5,1.7,29.2,1.2,1.5,76.9,1.9,3.1,0.8,0.0,1.1,0,0,12.49
,D.J. WilsonTOR,F,4,13.5,7.5,2.8,3.8,73.3,0.0,0.5,0.0,2.0,2.5,80.0,4.0,1.3,1.3,0.3,0.5,0,0,27.92
,Goran DragicTOR/BKN,PG,21,23.7,7.5,2.7,7.2,37.7,0.8,3.0,25.4,1.3,1.6,81.8,3.1,4.1,0.9,0.2,1.6,0,0,10.00
,Jeremiah Robinson-EarlOKC,PF,49,22.2,7.5,2.7,6.6,41.4,1.2,3.4,35.2,0.8,1.1,74.1,5.6,1.0,0.6,0.3,0.8,3,0,11.74
,Thomas BryantWSH,C,27,16.3,7.4,2.9,5.5,52.0,0.4,1.6,28.6,1.3,1.5,87.5,4.0,0.9,0.2,0.8,0.7,0,0,16.70
,Alex CarusoCHI,SG,41,28.0,7.4,2.5,6.2,39.8,1.0,3.1,33.3,1.4,1.8,79.5,3.6,4.0,1.7,0.4,1.4,1,0,11.75
,Damion LeeGS,SG,63,20.0,7.4,2.7,6.1,44.1,1.0,3.0,33.7,1.0,1.2,88.0,3.2,1.0,0.6,0.1,0.6,0,0,10.90
,Kenrich WilliamsOKC,SF,49,21.9,7.4,3.0,6.5,46.1,0.8,2.5,33.9,0.6,1.1,54.5,4.5,2.2,0.9,0.2,0.9,0,0,13.36
,Royce O'NealeUTAH,PF,77,31.2,7.4,2.6,5.8,45.7,1.5,4.0,38.9,0.6,0.7,80.4,4.8,2.5,1.1,0.4,1.0,3,0,10.31
,Jared HarperNO,G,5,8.6,7.4,2.8,5.2,53.8,1.0,2.4,41.7,0.8,0.8,100.0,0.4,2.8,0.8,0.2,0.4,0,0,37.00
,Wes IwunduATL,F,3,27.3,7.3,2.7,6.0,44.4,1.0,1.7,60.0,1.0,1.3,75.0,4.3,0.0,0.3,0.0,0.3,0,0,7.18
,Jeremy LambIND/SAC,SG,56,16.7,7.3,2.4,6.2,38.3,1.0,3.0,32.4,1.6,1.9,84.0,2.8,1.4,0.6,0.4,0.7,0,0,13.31
,Austin ReavesLAL,SG,61,23.2,7.3,2.4,5.2,45.9,0.9,2.7,31.7,1.6,1.9,83.9,3.2,1.8,0.5,0.3,0.7,1,1,11.57
,Taurean PrinceMIN,PF,69,17.1,7.3,2.6,5.7,45.4,1.2,3.3,37.6,0.9,1.2,75.6,2.5,1.0,0.7,0.3,0.8,0,0,12.47
,Joe InglesUTAH,SG,45,24.9,7.2,2.6,6.3,40.4,1.7,5.0,34.7,0.4,0.5,77.3,2.9,3.5,0.5,0.1,1.0,0,0,10.05
,Keon JohnsonPOR/LAC,SG,37,18.8,7.2,2.6,7.4,35.3,0.9,2.7,34.0,1.1,1.4,80.4,2.2,2.1,0.8,0.3,1.2,0,0,8.74
,Javonte GreenCHI,SF,65,23.4,7.2,2.7,5.0,54.2,0.6,1.6,35.6,1.2,1.5,83.3,4.2,0.9,1.0,0.5,0.5,0,0,14.05
,Braxton KeyDET/PHI,G,11,17.9,7.2,3.0,6.5,45.8,0.5,1.9,28.6,0.6,1.2,53.8,4.5,1.0,0.9,1.0,1.0,0,0,13.79
,Ty JeromeOKC,SG,48,16.7,7.1,2.6,6.8,37.8,1.1,3.9,29.0,0.8,1.0,80.9,1.6,2.3,0.6,0.1,0.8,0,0,11.34
,Theo MaledonOKC,PG,51,17.8,7.1,2.3,6.2,37.5,0.9,2.9,29.3,1.5,2.0,79.0,2.6,2.2,0.6,0.2,1.3,1,0,10.60
,Gary Payton IIGS,SG,71,17.6,7.1,3.0,4.8,61.6,0.6,1.7,35.8,0.5,0.8,60.3,3.5,0.9,1.4,0.3,0.6,1,0,17.86
,Robin LopezORL,C,36,17.0,7.1,3.1,5.5,55.3,0.1,0.2,33.3,0.9,1.5,59.3,3.5,1.5,0.1,0.5,1.2,3,0,13.73
,Sekou DoumbouyaLAL,SF,2,8.0,7.0,2.5,4.0,62.5,0.5,1.0,50.0,1.5,2.0,75.0,3.0,0.0,1.5,1.0,1.0,0,0,40.76
,Goga BitadzeIND,C,50,14.6,7.0,2.6,5.0,52.0,0.5,1.6,28.7,1.3,1.9,68.1,3.5,1.1,0.4,0.8,0.9,2,0,18.06
,Larry Nance Jr.POR/NO,PF,46,22.6,7.0,2.8,5.4,52.2,0.5,1.5,32.9,0.9,1.2,70.2,5.4,1.8,0.9,0.4,0.8,0,0,14.37
,Maxi KleberDAL,PF,59,24.6,7.0,2.4,6.0,39.8,1.4,4.3,32.5,0.8,1.1,70.8,5.9,1.2,0.5,1.0,0.8,2,0,10.98
,Olivier SarrOKC,C,22,19.1,7.0,2.6,4.6,57.4,0.6,1.3,44.8,1.1,1.3,82.8,4.2,0.9,0.3,0.7,1.0,1,0,14.04
,Steven AdamsMEM,C,76,26.3,6.9,2.8,5.1,54.7,0.0,0.0,0.0,1.4,2.6,54.3,10.0,3.4,0.9,0.8,1.5,14,0,17.60
,Jarred VanderbiltMIN,PF,74,25.4,6.9,2.9,4.9,58.7,0.0,0.2,14.3,1.2,1.8,65.6,8.4,1.3,1.3,0.6,1.0,8,0,15.35
,Killian HayesDET,PG,66,25.0,6.9,2.7,7.0,38.3,0.7,2.5,26.3,0.9,1.1,77.0,3.2,4.2,1.2,0.5,1.7,2,0,9.35
,Serge IbakaLAC/MIL,F,54,16.3,6.8,2.7,5.5,50.0,0.7,1.8,37.4,0.6,0.8,72.7,4.6,0.9,0.2,0.6,0.8,3,0,14.47
,Mason JonesLAL,G,4,12.8,6.8,1.8,3.8,46.7,0.3,1.0,25.0,3.0,3.8,80.0,2.5,1.0,0.5,0.0,0.3,0,0,17.78
,Brandon Boston Jr.LAC,SG,51,14.9,6.7,2.5,6.4,38.5,0.7,2.2,30.6,1.2,1.4,81.9,2.2,1.0,0.5,0.3,0.6,0,0,11.28
,Wayne EllingtonLAL,SG,43,18.8,6.7,2.3,5.5,41.3,1.9,4.9,38.9,0.2,0.3,81.8,1.8,0.7,0.5,0.1,0.4,0,0,9.94
,Stanley JohnsonLAL,PF,48,22.8,6.7,2.4,5.2,46.6,0.7,2.2,31.4,1.1,1.5,71.6,3.2,1.7,0.9,0.3,0.7,0,0,10.54
,Torrey CraigIND/PHX,SF,78,20.5,6.6,2.6,5.7,45.4,1.0,3.0,32.9,0.5,0.7,75.0,4.0,1.2,0.6,0.5,0.9,3,0,11.03
,Georgios KalaitzakisOKC/MIL,SF,13,16.4,6.6,2.4,5.2,46.3,0.8,2.0,38.5,1.1,2.3,46.7,1.6,0.9,0.8,0.2,1.5,0,0,8.60
